code_3L,libele,valeur,code_indicateur
PRY,Services voyage (% exports de services),25.7458831459233,BX.GSR.TRVL.ZS
RWA,Services voyage (% exports de services),53.9729058197817,BX.GSR.TRVL.ZS
SUR,Services voyage (% exports de services),16.8872409793815,BX.GSR.TRVL.ZS
SYC,Services voyage (% exports de services),54.2085132697227,BX.GSR.TRVL.ZS
SYC,Services voyage (% exports de services),54.2085132697227,BX.GSR.TRVL.ZS
TGO,Services voyage (% exports de services),14.976443683236,BX.GSR.TRVL.ZS
TON,Services voyage (% exports de services),63.8450054392314,BX.GSR.TRVL.ZS
UKR,Services voyage (% exports de services),5.16202867124443,BX.GSR.TRVL.ZS
UKR,Services voyage (% exports de services),5.16202867124443,BX.GSR.TRVL.ZS
UKR,Services voyage (% exports de services),5.16202867124443,BX.GSR.TRVL.ZS
URY,Services voyage (% exports de services),31.9293745609651,BX.GSR.TRVL.ZS
URY,Services voyage (% exports de services),31.9293745609651,BX.GSR.TRVL.ZS
VNM,Services voyage (% exports de services),,BX.GSR.TRVL.ZS
VNM,Services voyage (% exports de services),,BX.GSR.TRVL.ZS
VNM,Services voyage (% exports de services),,BX.GSR.TRVL.ZS
VNM,Services voyage (% exports de services),,BX.GSR.TRVL.ZS
VNM,Services voyage (% exports de services),,BX.GSR.TRVL.ZS
VNM,Services voyage (% exports de services),,BX.GSR.TRVL.ZS
VNM,Services voyage (% exports de services),,BX.GSR.TRVL.ZS
VUT,Services voyage (% exports de services),49.7580889390087,BX.GSR.TRVL.ZS
VUT,Services voyage (% exports de services),49.7580889390087,BX.GSR.TRVL.ZS
VUT,Services voyage (% exports de services),49.7580889390087,BX.GSR.TRVL.ZS
WSM,Services voyage (% exports de services),72.5984779440307,BX.GSR.TRVL.ZS
ZWE,Services voyage (% exports de services),38.8647655690431,BX.GSR.TRVL.ZS
AGO,Accès électricité (% pop),51.1,EG.ELC.ACCS.ZS
BDI,Accès électricité (% pop),11.6,EG.ELC.ACCS.ZS
BGD,Accès électricité (% pop),99.5,EG.ELC.ACCS.ZS
BWA,Accès électricité (% pop),76.0,EG.ELC.ACCS.ZS
CAN,Accès électricité (% pop),100.0,EG.ELC.ACCS.ZS
CAN,Accès électricité (% pop),100.0,EG.ELC.ACCS.ZS
CAN,Accès électricité (% pop),100.0,EG.ELC.ACCS.ZS
CAN,Accès électricité (% pop),100.0,EG.ELC.ACCS.ZS
CAN,Accès électricité (% pop),100.0,EG.ELC.ACCS.ZS
CAN,Accès électricité (% pop),100.0,EG.ELC.ACCS.ZS
CAN,Accès électricité (% pop),100.0,EG.ELC.ACCS.ZS
CAN,Accès électricité (% pop),100.0,EG.ELC.ACCS.ZS
CAN,Accès électricité (% pop),100.0,EG.ELC.ACCS.ZS
CAN,Accès électricité (% pop),100.0,EG.ELC.ACCS.ZS
CAN,Accès électricité (% pop),100.0,EG.ELC.ACCS.ZS
CAN,Accès électricité (% pop),100.0,EG.ELC.ACCS.ZS
CAN,Accès électricité (% pop),100.0,EG.ELC.ACCS.ZS
CAN,Accès électricité (% pop),100.0,EG.ELC.ACCS.ZS
CRI,Accès électricité (% pop),100.0,EG.ELC.ACCS.ZS
CRI,Accès électricité (% pop),100.0,EG.ELC.ACCS.ZS
CRI,Accès électricité (% pop),100.0,EG.ELC.ACCS.ZS
