,geonameid,name,asciiname,latitude,longitude,feature_code,country_code,population,timezone
20,290503,Warīsān,Warisan,25.16744,55.40708,PPL,AE,108759,Asia/Dubai
25,291074,Ras Al Khaimah,Ras Al Khaimah,25.78953,55.9432,PPLA,AE,351943,Asia/Dubai
34,292223,Dubai,Dubai,25.07725,55.30927,PPLA,AE,3790000,Asia/Dubai
37,292261,Dayrah,Dayrah,25.27143,55.30207,PPLX,AE,400000,Asia/Dubai
38,292672,Sharjah,Sharjah,25.3342,55.41221,PPLA,AE,1800000,Asia/Dubai
44,292878,Fujairah,Fujairah,25.11641,56.34141,PPLA,AE,118933,Asia/Dubai
45,292913,Al Ain City,Al Ain City,24.19167,55.76056,PPL,AE,846747,Asia/Dubai
46,292932,Ajman,Ajman,25.40177,55.47878,PPLA,AE,490035,Asia/Dubai
48,292968,Abu Dhabi,Abu Dhabi,24.45118,54.39696,PPLC,AE,1807000,Asia/Dubai
79,8469668,International City,International City,25.16383,55.40987,PPLX,AE,120000,Asia/Dubai
80,8469788,Dubai Marina,Dubai Marina,25.08525,55.14646,PPLX,AE,120000,Asia/Dubai
88,8476509,Al Majaz,Al Majaz,25.32354,55.38774,PPLX,AE,116503,Asia/Dubai
93,11048853,Dubai Investments Park,Dubai Investments Park,25.00827,55.15682,PPLX,AE,160000,Asia/Dubai
94,11524601,Jebel Ali,Jebel Ali,25.00255,55.10811,PPL,AE,210000,Asia/Dubai
96,12042053,Musaffah,Musaffah,24.35893,54.48267,PPL,AE,243341,Asia/Dubai
114,13118432,Business Bay,Business Bay,25.18544,55.26969,PPLX,AE,191000,Asia/Dubai
246,1133616,Mazār-e Sharīf,Mazar-e Sharif,36.70904,67.11087,PPLA,AF,523300,Asia/Kabul
262,1135689,Kunduz,Kunduz,36.72895,68.857,PPLA,AF,161902,Asia/Kabul
288,1138336,Kandahār,Kandahar,31.61332,65.71013,PPLA,AF,523300,Asia/Kabul
294,1138958,Kabul,Kabul,34.52813,69.17233,PPLC,AF,4434550,Asia/Kabul
299,1139715,Jalālābād,Jalalabad,34.42647,70.45153,PPLA,AF,271900,Asia/Kabul
302,1140026,Herāt,Herat,34.34817,62.19967,PPLA,AF,574300,Asia/Kabul
313,1141269,Ghazni,Ghazni,33.55391,68.42096,PPLA,AF,141000,Asia/Kabul
315,1141857,Gardez,Gardez,33.59744,69.22592,PPLA,AF,103601,Asia/Kabul
377,1147290,Balkh,Balkh,36.75635,66.8972,PPLA2,AF,114883,Asia/Kabul
380,1147540,Baghlān,Baghlan,36.13068,68.70829,PPLA2,AF,108449,Asia/Kabul
650,783263,Elbasan,Elbasan,41.11138,20.08224,PPLA,AL,100903,Europe/Tirane
696,3183719,Vlorë,Vlore,40.4696,19.48379,PPLA,AL,115261,Europe/Tirane
710,3183875,Tirana,Tirana,41.32744,19.81866,PPLC,AL,418495,Europe/Tirane
859,3185728,Durrës,Durres,41.32355,19.45469,PPLA,AL,195920,Europe/Tirane
1017,616052,Yerevan,Yerevan,40.17765,44.5126,PPLC,AM,1144700,Asia/Yerevan
1273,616635,Gyumri,Gyumri,40.79305,43.84635,PPLA,AM,114667,Asia/Yerevan
1513,866152,Erebuni,Erebuni,40.13309,44.53009,PPLX,AM,129700,Asia/Yerevan
1514,866153,Nor Nork,Nor Nork,40.19661,44.5669,PPLX,AM,137300,Asia/Yerevan
1516,866164,Ajapnyak,Ajapnyak,40.19917,44.47056,PPLX,AM,122800,Asia/Yerevan
1524,7670934,Malatia-Sebastia,Malatia-Sebastia,40.17396,44.4457,PPLX,AM,150500,Asia/Yerevan
1525,7670941,Kentron,Kentron,40.17806,44.51303,PPLX,AM,133000,Asia/Yerevan
1533,11111027,Shengavit,Shengavit,40.1557,44.4779,PPLX,AM,140600,Asia/Yerevan
1545,13156582,Arabkir,Arabkir,40.20624,44.50365,PPLX,AM,119300,Asia/Yerevan
1547,145531,Saurimo,Saurimo,-9.66078,20.39155,PPLA,AO,393000,Africa/Luanda
1548,145724,Lucapa,Lucapa,-8.41915,20.74466,PPL,AO,110000,Africa/Luanda
1549,145757,Dundo,Dundo,-7.36643,20.81557,PPLA,AO,177604,Africa/Luanda
1550,145778,Chitato,Chitato,-7.3,20.73333,PPL,AO,246880,Africa/Luanda
1565,2236568,Uíge,Uige,-7.60874,15.06131,PPLA,AO,322531,Africa/Luanda
1567,2236967,Soyo,Soyo,-6.1349,12.36894,PPL,AO,200920,Africa/Luanda
1574,2239076,N'dalatando,N'dalatando,-9.29782,14.91162,PPLA,AO,161584,Africa/Luanda
1576,2239520,Mbanza Kongo,Mbanza Kongo,-6.26667,14.23833,PPLA,AO,148000,Africa/Luanda
1578,2239862,Malanje,Malanje,-9.54015,16.34096,PPLA,AO,455000,Africa/Luanda
1579,2239888,Maianga,Maianga,-8.82904,13.23097,PPLX,AO,319000,Africa/Luanda
1582,2240449,Luanda,Luanda,-8.83682,13.23432,PPLC,AO,2776168,Africa/Luanda
1598,2243271,Cabinda,Cabinda,-5.56198,12.19476,PPLA,AO,550000,Africa/Luanda
1606,2591949,Cazenga,Cazenga,-8.82488,13.31318,PPL,AO,424528,Africa/Luanda
1607,2591976,Talatona,Talatona,-8.91783,13.18562,PPL,AO,500000,Africa/Luanda
1616,3346015,Sumbe,Sumbe,-11.20605,13.84371,PPLA,AO,205832,Africa/Luanda
1621,3346821,Ondjiva,Ondjiva,-17.06667,15.73333,PPLA,AO,121537,Africa/Luanda
1623,3347019,Mossamedes,Mossamedes,-15.19611,12.15222,PPLA,AO,255000,Africa/Luanda
1625,3347353,Menongue,Menongue,-14.6585,17.69099,PPLA,AO,251178,Africa/Luanda
1628,3347719,Luena,Luena,-11.78333,19.91667,PPLA,AO,273675,Africa/Luanda
1629,3347762,Lubango,Lubango,-14.91717,13.4925,PPLA,AO,600751,Africa/Luanda
1632,3347939,Lobito,Lobito,-12.3644,13.53601,PPL,AO,357950,Africa/Luanda
1633,3348078,Cuíto,Cuito,-12.38333,16.93333,PPLA,AO,355423,Africa/Luanda
1636,3348313,Huambo,Huambo,-12.77611,15.73917,PPLA,AO,595304,Africa/Luanda
1638,3348613,Gabela,Gabela,-10.85147,14.37993,PPL,AO,116903,Africa/Luanda
1671,3351500,Caála,Caala,-12.8525,15.56056,PPL,AO,130000,Africa/Luanda
1674,3351663,Benguela,Benguela,-12.57674,13.40268,PPLA,AO,555124,Africa/Luanda
1686,10627325,Ingombota,Ingombota,-8.81806,13.22889,PPLX,AO,370000,Africa/Luanda
1690,13546341,Rangel,Rangel,-8.82644,13.26285,PPLX,AO,261000,Africa/Luanda
1692,13546343,Sambizanga,Sambizanga,-8.78883,13.27506,PPLX,AO,244000,Africa/Luanda
1702,3427408,Villa Lugano,Villa Lugano,-34.67907,-58.47263,PPLX,AR,114000,America/Argentina/Buenos_Aires
1718,3427833,Tandil,Tandil,-37.3287,-59.1369,PPLA2,AR,115877,America/Argentina/Buenos_Aires
1744,3428775,San Justo,San Justo,-34.68107,-58.56379,PPLA2,AR,105274,America/Argentina/Buenos_Aires
1770,3429577,Resistencia,Resistencia,-27.46363,-58.98665,PPLA,AR,290793,America/Argentina/Cordoba
1775,3429652,Quilmes,Quilmes,-34.72065,-58.25454,PPLA2,AR,262379,America/Argentina/Buenos_Aires
1792,3429886,Posadas,Posadas,-27.39184,-55.92379,PPLA,AR,305874,America/Argentina/Cordoba
1824,3430697,Merlo,Merlo,-34.66536,-58.72744,PPLA2,AR,268961,America/Argentina/Buenos_Aires
1833,3430863,Mar del Plata,Mar del Plata,-38.00042,-57.5562,PPLA2,AR,593337,America/Argentina/Buenos_Aires
1848,3431271,Lomas de Zamora,Lomas de Zamora,-34.7574,-58.40279,PPLA2,AR,111897,America/Argentina/Buenos_Aires
1859,3432043,La Plata,La Plata,-34.92126,-57.95442,PPLA,AR,195443,America/Argentina/Buenos_Aires
1873,3433360,Ituzaingó,Ituzaingo,-27.58504,-56.68707,PPLA2,AR,168419,America/Argentina/Cordoba
1909,3433899,Formosa,Formosa,-26.18489,-58.17313,PPLA,AR,222226,America/Argentina/Cordoba
1916,3433975,Ezeiza,Ezeiza,-34.8544,-58.52474,PPLA2,AR,115021,America/Argentina/Buenos_Aires
1935,3435217,Corrientes,Corrientes,-27.46784,-58.8344,PPLA,AR,346334,America/Argentina/Cordoba
1938,3435261,Concordia,Concordia,-31.39195,-58.01706,PPLA2,AR,145210,America/Argentina/Cordoba
1961,3435607,Castelar,Castelar,-34.65142,-58.64074,PPL,AR,107786,America/Argentina/Buenos_Aires
1977,3435910,Buenos Aires,Buenos Aires,-34.61315,-58.37723,PPLC,AR,2891082,America/Argentina/Buenos_Aires
1986,3436043,Berazategui,Berazategui,-34.76531,-58.21278,PPL,AR,180523,America/Argentina/Buenos_Aires
1990,3436077,Belgrano,Belgrano,-34.5627,-58.45829,PPLX,AR,138942,America/Argentina/Buenos_Aires
2139,3835869,Santiago del Estero,Santiago del Estero,-27.80047,-64.26285,PPLA,AR,252192,America/Argentina/Cordoba
2146,3835994,Santa Rosa,Santa Rosa,-36.61617,-64.28991,PPLA,AR,102860,America/Argentina/Salta
2152,3836277,Santa Fe,Santa Fe,-31.64881,-60.70868,PPLA,AR,391164,America/Argentina/Cordoba
2156,3836564,San Salvador de Jujuy,San Salvador de Jujuy,-24.1928,-65.29342,PPLA,AR,257970,America/Argentina/Jujuy
2158,3836669,San Rafael,San Rafael,-34.61531,-68.33238,PPLA2,AR,118009,America/Argentina/Mendoza
2162,3836846,San Nicolás de los Arroyos,San Nicolas de los Arroyos,-33.33425,-60.2108,PPLA2,AR,134217,America/Argentina/Buenos_Aires
2163,3836873,San Miguel de Tucumán,San Miguel de Tucuman,-26.81601,-65.21051,PPLA,AR,548866,America/Argentina/Tucuman
2168,3837056,San Luis,San Luis,-33.2914,-66.32467,PPLA,AR,169947,America/Argentina/San_Luis
2171,3837213,San Juan,San Juan,-31.53726,-68.52568,PPLA,AR,109123,America/Argentina/San_Juan
2180,3837702,Catamarca,Catamarca,-28.46957,-65.78524,PPLA,AR,159139,America/Argentina/Catamarca
2200,3838233,Salta,Salta,-24.80645,-65.41999,PPLA,AR,520683,America/Argentina/Salta
2210,3838583,Rosario,Rosario,-32.94682,-60.63932,PPLA2,AR,948312,America/Argentina/Cordoba
2224,3838874,Río Cuarto,Rio Cuarto,-33.13044,-64.35272,PPLA2,AR,157010,America/Argentina/Cordoba
2277,3841956,Paraná,Parana,-31.73271,-60.52897,PPLA,AR,247139,America/Argentina/Cordoba
2295,3843123,Neuquén,Neuquen,-38.95078,-68.0592,PPLA,AR,231198,America/Argentina/Salta
2314,3844421,Mendoza,Mendoza,-32.88946,-68.84582,PPLA,AR,114893,America/Argentina/Mendoza
2374,3848950,La Rioja,La Rioja,-29.41328,-66.85637,PPLA,AR,178872,America/Argentina/La_Rioja
2548,3860259,Córdoba,Cordoba,-31.40648,-64.18853,PPLA,AR,2106734,America/Argentina/Cordoba
2553,3860443,Comodoro Rivadavia,Comodoro Rivadavia,-45.86256,-67.494,PPLA2,AR,140850,America/Argentina/Catamarca
2640,3865086,Bahía Blanca,Bahia Blanca,-38.7176,-62.26545,PPLA2,AR,299101,America/Argentina/Buenos_Aires
2686,6693228,Balvanera,Balvanera,-34.61032,-58.39766,PPLX,AR,152198,America/Argentina/Buenos_Aires
2697,7645166,San Miguel,San Miguel,-34.54335,-58.71229,PPL,AR,168762,America/Argentina/Buenos_Aires
2711,12076997,José C. Paz,Jose C. Paz,-34.51541,-58.76813,PPLA2,AR,230208,America/Argentina/Buenos_Aires
2862,2761369,Vienna,Vienna,48.20849,16.37208,PPLC,AT,1691468,Europe/Vienna
3267,2765028,Simmering,Simmering,48.18333,16.43333,PPLX,AT,101420,Europe/Vienna
3549,2766824,Salzburg,Salzburg,47.79941,13.04399,PPLA,AT,157245,Europe/Vienna
3859,2769359,Ottakring,Ottakring,48.21667,16.3,PPLX,AT,104627,Europe/Vienna
4237,2772400,Linz,Linz,48.30639,14.28611,PPLA,AT,204846,Europe/Vienna
4425,2774326,Klagenfurt am Wörthersee,Klagenfurt am Woerthersee,46.62472,14.30528,PPLA,AT,100316,Europe/Vienna
4534,2775220,Innsbruck,Innsbruck,47.26266,11.39454,PPLA,AT,132493,Europe/Vienna
4787,2778067,Graz,Graz,47.06733,15.44197,PPLA,AT,303270,Europe/Vienna
4953,2779469,Floridsdorf,Floridsdorf,48.25,16.4,PPLX,AT,162779,Europe/Vienna
5512,8063098,Favoriten,Favoriten,48.16116,16.38233,PPLX,AT,201882,Europe/Vienna
5728,11903636,Donaustadt,Donaustadt,48.2333,16.46002,PPLX,AT,187007,Europe/Vienna
5895,2063523,Perth,Perth,-31.95224,115.8614,PPLA,AU,2309338,Australia/Perth
6068,2073124,Darwin,Darwin,-12.46113,130.84185,PPLA,AU,139902,Australia/Darwin
6157,2078025,Adelaide,Adelaide,-34.92866,138.59863,PPLA,AU,1469163,Australia/Adelaide
6402,2146142,Townsville,Townsville,-19.26639,146.80569,PPL,AU,201313,Australia/Brisbane
6407,2146268,Toowoomba,Toowoomba,-27.56056,151.95386,PPL,AU,142163,Australia/Brisbane
6495,2147714,Sydney,Sydney,-33.86785,151.20732,PPLA,AU,5557233,Australia/Sydney
6835,2155472,Newcastle,Newcastle,-32.92953,151.7801,PPLA2,AU,508437,Australia/Sydney
6994,2158177,Melbourne,Melbourne,-37.814,144.96332,PPLA,AU,5350705,Australia/Melbourne
7042,2159220,Mackay,Mackay,-21.15345,149.16554,PPLA2,AU,121691,Australia/Brisbane
7246,2163355,Hobart,Hobart,-42.87936,147.32941,PPLA,AU,252639,Australia/Hobart
7332,2165087,Gold Coast,Gold Coast,-28.00029,153.43088,PPL,AU,640778,Australia/Brisbane
7369,2165798,Geelong,Geelong,-38.14711,144.36069,PPL,AU,282809,Australia/Melbourne
7640,2171507,Wollongong,Wollongong,-34.424,150.89345,PPLA2,AU,280153,Australia/Sydney
7691,2172517,Canberra,Canberra,-35.28346,149.12807,PPLC,AU,367752,Australia/Sydney
7709,2172797,Cairns,Cairns,-16.92366,145.76613,PPL,AU,153075,Australia/Brisbane
7761,2174003,Brisbane,Brisbane,-27.46794,153.02809,PPLA,AU,2780063,Australia/Brisbane
7854,2176187,Bendigo,Bendigo,-36.75818,144.28024,PPLA2,AU,103034,Australia/Melbourne
7924,2177091,Ballarat,Ballarat,-37.56622,143.84957,PPL,AU,111973,Australia/Melbourne
8239,7281838,Logan City,Logan City,-27.63917,153.10944,PPL,AU,345098,Australia/Brisbane
8438,8310663,Central Coast,Central Coast,-33.42979,151.37144,PPL,AU,346596,Australia/Sydney
10466,10300648,City of Port Phillip,City of Port Phillip,-37.83382,144.93834,PPLX,AU,112669,Australia/Melbourne
10470,10630449,Sunshine Coast,Sunshine Coast,-26.65682,153.07955,PPLA2,AU,346522,Australia/Brisbane
10731,147622,Lankaran,Lankaran,38.75428,48.85062,PPLA,AZ,240300,Asia/Baku
10772,584649,Yevlakh,Yevlakh,40.61832,47.15014,PPLA,AZ,127400,Asia/Baku
10781,584821,Tovuz,Tovuz,40.99249,45.62838,PPLA,AZ,177200,Asia/Baku
10783,584923,Sumqayıt,Sumqayit,40.58972,49.66861,PPLA,AZ,358675,Asia/Baku
10813,585514,Mingachevir,Mingachevir,40.76422,47.06227,PPLA,AZ,106048,Asia/Baku
10847,586523,Ganja,Ganja,40.68157,46.36134,PPLA,AZ,335600,Asia/Baku
10873,587084,Baku,Baku,40.37767,49.89201,PPLC,AZ,1116513,Asia/Baku
10904,3186573,Zenica,Zenica,44.20169,17.90397,PPLA2,BA,164423,Europe/Sarajevo
10928,3188582,Tuzla,Tuzla,44.53842,18.66709,PPLA2,BA,142486,Europe/Sarajevo
10958,3191281,Sarajevo,Sarajevo,43.84864,18.35644,PPLC,BA,696731,Europe/Sarajevo
11016,3194828,Mostar,Mostar,43.34333,17.80806,PPLA2,BA,104518,Europe/Sarajevo
11151,3204541,Banja Luka,Banja Luka,44.77879,17.20629,PPLA,BA,221106,Europe/Sarajevo
11215,1185098,Tungi,Tungi,23.89154,90.40232,PPL,BD,337579,Asia/Dhaka
11216,1185099,Sylhet,Sylhet,24.89904,91.87198,PPLA,BD,237000,Asia/Dhaka
11219,1185106,Jamālpur,Jamalpur,24.91965,89.94812,PPLA2,BD,167900,Asia/Dhaka
11220,1185107,Shibganj,Shibganj,25.00146,89.32266,PPL,BD,378701,Asia/Dhaka
11222,1185111,Sātkhira,Satkhira,22.70817,89.07185,PPL,BD,128918,Asia/Dhaka
11223,1185115,Sirajganj,Sirajganj,24.45771,89.70802,PPL,BD,127481,Asia/Dhaka
11225,1185117,Narsingdi,Narsingdi,23.92298,90.71768,PPL,BD,281080,Asia/Dhaka
11227,1185121,Shāhzādpur,Shahzadpur,24.17687,89.5988,PPL,BD,102420,Asia/Dhaka
11229,1185128,Rajshahi,Rajshahi,24.374,88.60114,PPLA,BD,763580,Asia/Dhaka
11235,1185155,Narayanganj,Narayanganj,23.61352,90.50298,PPL,BD,223622,Asia/Dhaka
11237,1185159,Nāgarpur,Nagarpur,24.05783,89.87696,PPL,BD,238422,Asia/Dhaka
11239,1185162,Mymensingh,Mymensingh,24.75636,90.40646,PPLA,BD,225126,Asia/Dhaka
11248,1185186,Comilla,Comilla,23.46186,91.18503,PPL,BD,1030000,Asia/Dhaka
11249,1185188,Rangpur,Rangpur,25.74664,89.25166,PPLA,BD,1031388,Asia/Dhaka
11250,1185191,Kushtia,Kushtia,23.9028,89.11943,PPL,BD,135724,Asia/Dhaka
11261,1185240,Ramna Maidan,Ramna Maidan,23.73333,90.4,PPLX,BD,143677,Asia/Dhaka
11262,1185241,Dhaka,Dhaka,23.7104,90.40744,PPLC,BD,10356500,Asia/Dhaka
11270,1185263,Bhairab Bāzār,Bhairab Bazar,24.0524,90.9764,PPL,BD,105457,Asia/Dhaka
11271,1185270,Bāndarban,Bandarban,22.19534,92.21946,PPL,BD,495272,Asia/Dhaka
11275,1185281,Bagerhat,Bagerhat,22.65657,89.79123,PPLA2,BD,266388,Asia/Dhaka
11279,1185920,Tungipara,Tungipara,22.89983,89.90326,PPL,BD,114482,Asia/Dhaka
11280,1187530,Sonārgaon,Sonargaon,23.65,90.61667,PPL,BD,130000,Asia/Dhaka
11290,1192366,Pār Naogaon,Par Naogaon,24.80418,88.94875,PPL,BD,192464,Asia/Dhaka
11293,1193745,Nagar Naluākot,Nagar Naluakot,24.15608,90.7728,PPL,BD,273000,Asia/Dhaka
11296,1194041,Mohammadpur,Mohammadpur,24.89843,88.52844,PPL,BD,527571,Asia/Dhaka
11298,1195434,Maijdi,Maijdi,22.86667,91.1,PPL,BD,132185,Asia/Dhaka
11301,1199503,Kafrul,Kafrul,23.78822,90.37359,PPL,BD,339734,Asia/Dhaka
11302,1200109,Gazipur,Gazipur,23.99844,90.42234,PPLA2,BD,2674697,Asia/Dhaka
11307,1203344,Farīdpur,Faridpur,23.60612,89.84064,PPL,BD,112187,Asia/Dhaka
11310,1203891,Dinajpur,Dinajpur,25.62745,88.63779,PPL,BD,206234,Asia/Dhaka
11312,1205733,Chattogram,Chattogram,22.3384,91.83168,PPLA,BD,3920222,Asia/Dhaka
11315,1207337,Chāndpur,Chandpur,23.22714,90.65433,PPLA2,BD,203000,Asia/Dhaka
11317,1209106,Bhatara,Bhatara,23.8,90.45,PPL,BD,324300,Asia/Dhaka
11322,1212405,Ashuganj City,Ashuganj City,24.04016,91.0117,PPL,BD,210356,Asia/Dhaka
11324,1336134,Cox’s Bāzār,Cox's Bazar,21.43973,92.00955,PPL,BD,253788,Asia/Dhaka
11325,1336135,Khulna,Khulna,22.80979,89.56439,PPLA,BD,1500689,Asia/Dhaka
11327,1336137,Barishal,Barishal,22.70497,90.37013,PPLA,BD,202242,Asia/Dhaka
11328,1336139,Rangamati,Rangamati,22.64317,92.19186,PPL,BD,106069,Asia/Dhaka
11329,1336140,Jessore,Jessore,23.16971,89.21371,PPL,BD,243987,Asia/Dhaka
11330,1336142,Brāhmanbāria,Brahmanbaria,23.97464,91.11228,PPL,BD,264326,Asia/Dhaka
11331,1336143,Pābna,Pabna,24.00644,89.2372,PPL,BD,186781,Asia/Dhaka
11332,1336144,Tangail,Tangail,24.24984,89.91655,PPL,BD,180144,Asia/Dhaka
11333,1337233,Bogra,Bogra,24.85098,89.37108,PPL,BD,210000,Asia/Dhaka
11335,1337240,Nawābganj,Nawabganj,24.59025,88.27444,PPL,BD,142361,Asia/Dhaka
11337,1337248,Sherpur,Sherpur,25.01881,90.01751,PPL,BD,107419,Asia/Dhaka
11340,1349452,Savar,Savar,23.84858,90.25002,PPL,BD,286008,Asia/Dhaka
11341,1462674,Hāthazāri,Hathazari,22.50515,91.81339,PPL,BD,498179,Asia/Dhaka
11345,6545349,Saidpur,Saidpur,25.77769,88.89169,PPL,BD,199422,Asia/Dhaka
11350,7483743,Puthia,Puthia,24.36537,88.83431,PPL,BD,159406,Asia/Dhaka
11351,7483813,Natore,Natore,24.41112,88.98673,PPL,BD,369138,Asia/Dhaka
11359,7696679,Pallabi,Pallabi,23.825,90.37,PPLX,BD,597574,Asia/Dhaka
11363,8299875,Karnaphuli,Karnaphuli,22.69056,92.23472,PPL,BD,203697,Asia/Dhaka
11367,9827976,Paltan,Paltan,23.73625,90.41426,PPL,BD,184492,Asia/Dhaka
11368,11395976,Mirpur Model Thana,Mirpur Model Thana,23.80931,90.36093,PPLX,BD,546503,Asia/Dhaka
11372,13589478,Motijheel,Motijheel,23.72772,90.41919,PPL,BD,202308,Asia/Dhaka
11884,2787149,Schaerbeek,Schaerbeek,50.86935,4.37737,PPL,BE,132761,Europe/Brussels
12271,2790471,Namur,Namur,50.4669,4.86746,PPLA,BE,110939,Europe/Brussels
12527,2792413,Liège,Liege,50.63373,5.56749,PPL,BE,195278,Europe/Brussels
12537,2792482,Leuven,Leuven,50.87959,4.70093,PPL,BE,101032,Europe/Brussels
12988,2797656,Gent,Gent,51.05,3.71667,PPL,BE,265086,Europe/Brussels
13269,2800481,Charleroi,Charleroi,50.41136,4.44448,PPL,BE,200132,Europe/Brussels
13308,2800866,Brussels,Brussels,50.85045,4.34878,PPLC,BE,1019022,Europe/Brussels
13312,2800931,Brugge,Brugge,51.20892,3.22424,PPL,BE,118509,Europe/Brussels
13568,2803138,Antwerpen,Antwerpen,51.22047,4.40026,PPL,BE,529247,Europe/Brussels
13581,2803201,Anderlecht,Anderlecht,50.83619,4.31454,PPLA4,BE,160553,Europe/Brussels
13655,2356157,Saaba,Saaba,12.37136,-1.41468,PPLA3,BF,136011,Africa/Ouagadougou
13668,2357043,Ouahigouya,Ouahigouya,13.5769,-2.41786,PPLA,BF,124587,Africa/Ouagadougou
13669,2357048,Ouagadougou,Ouagadougou,12.36566,-1.53388,PPLC,BF,2415266,Africa/Ouagadougou
13689,2358946,Koudougou,Koudougou,12.25188,-2.36694,PPLA,BF,160239,Africa/Ouagadougou
13698,2359608,Kaya,Kaya,13.0883,-1.08368,PPLA,BF,121970,Africa/Ouagadougou
13728,2362344,Bobo-Dioulasso,Bobo-Dioulasso,11.18064,-4.29489,PPLA,BF,904920,Africa/Ouagadougou
13736,2362909,Banfora,Banfora,10.64064,-4.75285,PPLA,BF,117452,Africa/Ouagadougou
13773,726050,Varna,Varna,43.21912,27.91024,PPLA,BG,318737,Europe/Sofia
13803,726848,Stara Zagora,Stara Zagora,42.43205,25.64262,PPLA,BG,121582,Europe/Sofia
13810,727011,Sofia,Sofia,42.69751,23.32415,PPLC,BG,1152556,Europe/Sofia
13838,727523,Ruse,Ruse,43.84872,25.9534,PPLA,BG,121168,Europe/Sofia
13863,728193,Plovdiv,Plovdiv,42.15387,24.75001,PPLA,BG,329489,Europe/Sofia
14027,732770,Burgas,Burgas,42.50651,27.46886,PPLA,BG,210646,Europe/Sofia
14077,290247,Madīnat Ḩamad,Madinat Hamad,26.11528,50.50694,PPL,BH,133550,Asia/Bahrain
14079,290332,Al Muharraq,Al Muharraq,26.25722,50.61194,PPL,BH,176583,Asia/Bahrain
14080,290340,Manama,Manama,26.22787,50.58565,PPLC,BH,147074,Asia/Bahrain
14082,385038,Ar Rifā‘,Ar Rifa',26.13,50.555,PPL,BH,115495,Asia/Bahrain
14095,425378,Bujumbura,Bujumbura,-3.38193,29.36142,PPLA,BI,769317,Africa/Bujumbura
14136,2392087,Porto-Novo,Porto-Novo,6.49646,2.60359,PPLC,BJ,264320,Africa/Porto-Novo
14140,2392204,Parakou,Parakou,9.33716,2.63031,PPLA,BJ,255478,Africa/Porto-Novo
14164,2394092,Godomè,Godome,6.38948,2.34581,PPL,BJ,253262,Africa/Porto-Novo
14174,2394819,Cotonou,Cotonou,6.36536,2.41833,PPLG,BJ,679012,Africa/Porto-Novo
14195,2395914,Abomey-Calavi,Abomey-Calavi,6.44852,2.35566,PPL,BJ,385755,Africa/Porto-Novo
14196,2395915,Abomey,Abomey,7.18286,1.99119,PPLA,BJ,117824,Africa/Porto-Novo
14294,3903320,Tarija,Tarija,-21.53549,-64.72956,PPLA,BO,159269,America/La_Paz
14297,3903987,Sucre,Sucre,-19.03332,-65.26274,PPLC,BO,224838,America/La_Paz
14308,3904906,Santa Cruz de la Sierra,Santa Cruz de la Sierra,-17.78629,-63.18117,PPLA,BO,1831434,America/La_Paz
14324,3906194,Sacaba,Sacaba,-17.39799,-66.03825,PPL,BO,180726,America/La_Paz
14330,3906791,Quillacollo,Quillacollo,-17.39228,-66.27838,PPL,BO,172405,America/La_Paz
14337,3907584,Potosí,Potosi,-19.58361,-65.75306,PPLA,BO,141251,America/La_Paz
14349,3909234,Oruro,Oruro,-17.97153,-67.0932,PPLA,BO,208684,America/La_Paz
14370,3911925,La Paz,La Paz,-16.5,-68.15,PPLG,BO,2004652,America/La_Paz
14406,3919968,Cochabamba,Cochabamba,-17.38195,-66.15995,PPLA,BO,841276,America/La_Paz
14460,3384987,Vitória de Santo Antão,Vitoria de Santo Antao,-8.11806,-35.29139,PPL,BR,134084,America/Recife
14523,3386361,Timon,Timon,-5.09417,-42.83667,PPL,BR,174465,America/Fortaleza
14534,3386496,Teresina,Teresina,-5.08917,-42.80194,PPLA,BR,871126,America/Fortaleza
14571,3387296,Sobral,Sobral,-3.68611,-40.34972,PPL,BR,203023,America/Fortaleza
14629,3388368,São Luís,Sao Luis,-2.52972,-44.30278,PPLA,BR,917237,America/Fortaleza
14630,3388376,São Lourenço da Mata,Sao Lourenco da Mata,-8.00222,-35.01833,PPL,BR,111249,America/Recife
14643,3388441,São José de Ribamar,Sao Jose de Ribamar,-2.55572,-44.05992,PPL,BR,244579,America/Fortaleza
14670,3388713,São Gonçalo do Amarante,Sao Goncalo do Amarante,-5.79333,-35.32944,PPL,BR,115838,America/Fortaleza
14707,3389321,Santa Rita,Santa Rita,-7.11389,-34.97806,PPL,BR,149910,America/Fortaleza
14710,3389353,Santarém,Santarem,-2.44306,-54.70833,PPL,BR,189047,America/Santarem
14787,3390760,Recife,Recife,-8.05389,-34.88111,PPLA,BR,1653461,America/Recife
14814,3391360,Santana,Santana,-0.03816,-51.17476,PPL,BR,107618,America/Belem
14857,3392242,Petrolina,Petrolina,-9.39861,-40.50083,PPL,BR,386791,America/Recife
14884,3392734,Paulo Afonso,Paulo Afonso,-9.40611,-38.21472,PPL,BR,112870,America/Bahia
14886,3392740,Paulista,Paulista,-7.94083,-34.87306,PPL,BR,342167,America/Recife
14902,3392998,Parnamirim,Parnamirim,-5.91556,-35.26278,PPLA2,BR,267036,America/Fortaleza
14903,3393001,Parnaíba,Parnaiba,-2.90472,-41.77667,PPL,BR,138008,America/Fortaleza
14905,3393008,Parintins,Parintins,-2.62833,-56.73583,PPL,BR,101956,America/Manaus
