City,country,code_3L,month,temp_avg,temp_max,temp_min
Beira,mozambique,MOZ,7,20.9,26.0,16.2
Beira,mozambique,MOZ,8,22.2,27.1,17.4
Beira,mozambique,MOZ,9,23.5,27.9,19.4
Biarritz,france,FRA,1,8.6,11.8,4.5
Biarritz,france,FRA,10,16.5,21.1,12.2
Biarritz,france,FRA,11,12.3,16.0,8.3
Biarritz,france,FRA,12,10.7,13.9,6.6
Biarritz,france,FRA,2,10.1,14.0,6.0
Biarritz,france,FRA,3,12.0,16.8,8.1
Biarritz,france,FRA,4,13.7,17.4,9.2
Biarritz,france,FRA,5,16.0,19.8,12.2
Biarritz,france,FRA,6,19.0,22.9,15.4
Biarritz,france,FRA,7,21.2,24.5,17.4
Biarritz,france,FRA,8,21.4,25.3,17.5
Biarritz,france,FRA,9,19.1,23.8,14.7
Bishkek,kyrgyzstan,KGZ,1,-1.5,4.5,-6.0
Bishkek,kyrgyzstan,KGZ,10,11.2,17.4,5.2
Bishkek,kyrgyzstan,KGZ,11,3.8,9.8,-0.6
Bishkek,kyrgyzstan,KGZ,12,-0.5,4.6,-5.3
Bishkek,kyrgyzstan,KGZ,2,1.5,8.0,-2.9
Bishkek,kyrgyzstan,KGZ,3,7.8,13.5,2.6
Bishkek,kyrgyzstan,KGZ,4,13.8,20.1,8.1
Bishkek,kyrgyzstan,KGZ,5,18.8,25.1,12.3
Bishkek,kyrgyzstan,KGZ,6,24.2,31.2,17.2
Bishkek,kyrgyzstan,KGZ,7,27.0,34.3,20.1
Bishkek,kyrgyzstan,KGZ,8,24.5,31.5,17.7
Bishkek,kyrgyzstan,KGZ,9,19.0,26.2,11.8
Blantyre,malawi,MWI,1,23.9,27.1,20.2
Blantyre,malawi,MWI,10,26.5,31.2,19.5
Blantyre,malawi,MWI,11,26.9,31.0,20.5
Blantyre,malawi,MWI,12,26.4,30.2,21.3
Blantyre,malawi,MWI,2,24.7,27.5,20.0
Blantyre,malawi,MWI,3,24.2,26.7,19.2
Blantyre,malawi,MWI,4,22.7,26.2,18.0
Blantyre,malawi,MWI,5,21.7,24.9,15.6
